stock,alpha,alpha_t,alpha_p_value,beta,beta_t,beta_p_value,r_squared,adj_r_squared,n_obs
NFLX,0.0010114480914326322,0.9085011948511957,0.36448843499026606,0.9174885285717247,9.789326213011208,2.2980227175737198e-19,0.27710336343495234,0.27421177688869214,252
WBD,0.0034853056161599522,1.5950581624972875,0.11196259293925848,1.7961237690857927,9.764323787250254,2.7474728344416726e-19,0.276079983814872,0.2731843037501315,252
PSKY,0.0014805628175910916,0.6671104807987308,0.5053168270156048,0.4725739086756383,2.52936159329031,0.012042610723151943,0.024952138090315712,0.021051946642676955,252
