Date,t,MKT,NFLX_return,NFLX_expected_return,NFLX_AR,NFLX_CAR,WBD_return,WBD_expected_return,WBD_AR,WBD_CAR,PSKY_return,PSKY_expected_return,PSKY_AR,PSKY_CAR
2026-02-12,-10,-0.015660947897203292,-0.0472243154986185,-0.013357291950810863,-0.033867023547807636,-0.033867023547807636,0.004287245444801746,-0.024643695148421046,0.028930940593222793,0.028930940593222793,-0.06902815622161673,-0.005920392543755787,-0.06310776367786095,-0.06310776367786095
2026-02-13,-9,0.0004990662631205733,0.013313999472712945,0.0014693356628429162,0.011844663809870029,-0.022022359737937605,-0.004268943436499528,0.004381690393699639,-0.008650633830199168,0.020280306763023625,0.006829268292682933,0.0017164085122421254,0.0051128597804408074,-0.05799490389742014
2026-02-17,-8,0.0010312792104349988,0.001691166905164465,0.001957634936761249,-0.00026646803159678396,-0.022288827769534388,0.027152554483744318,0.005337610718586283,0.021814943765158034,0.04209525052818166,0.04941860465116288,0.001967918465002285,0.04745068618616059,-0.010544217711259546
2026-02-18,-7,0.005566093154976803,0.0128571428571429,0.006118274710085448,0.0067388681470574524,-0.015549959622476937,0.0013913043478259723,0.01348269783275952,-0.012091393484933547,0.030003857043248112,0.026777469990766356,0.004110953215891194,0.02266651677487516,0.012122299063615616
2026-02-19,-6,-0.0028221370640183485,-0.012693935119887145,-0.0015778302908612896,-0.011116104829025857,-0.026666064451502793,-0.009030913511635874,-0.001583601844141397,-0.007447311667494477,0.022556545375753634,-0.01618705035971224,0.0001468944744295504,-0.01633394483414179,-0.004211645770526174
2026-02-20,-5,0.00693977898217546,0.021688311688311757,0.0073786156984017755,0.014309695989909981,-0.012356368461592812,0.007711181212758378,0.015950007598247305,-0.008238826385488927,0.014317718990264707,-0.02102376599634359,0.004760121296542791,-0.02578388729288638,-0.029995533063412554
2026-02-23,-4,-0.010385685815636703,-0.03368501334689211,-0.008517299505764119,-0.025167713841127995,-0.03752408230272081,0.0059130434782608265,-0.0151686715355623,0.021081715013823124,0.035399434004087835,-0.01400560224089642,-0.0034274413225814796,-0.010578160918314941,-0.0405736939817275
2026-02-24,-3,0.007651639793791798,0.026571954748750404,0.008031739826999524,0.01854021492175088,-0.018983867380969927,0.007952973720608547,0.017228597722272115,-0.009275624001663568,0.026123810002424266,-0.016098484848484862,0.005096528142721337,-0.0211950129912062,-0.0617687069729337
2026-02-25,-2,0.008136346945676998,0.05971296770886725,0.008476453078570867,0.05123651463029638,0.03225264724932646,-0.00857632933104635,0.018099191758819,-0.026675521089865352,-0.0005517110874410855,-0.022136669874879722,0.005325588096050762,-0.027462257970930486,-0.08923096494386418
2026-02-26,-1,-0.005365577666988752,0.022853688029020658,-0.0039114078671901855,0.026765095896210844,0.0590177431455373,-0.0034602076124566894,-0.006151935966394439,0.0026917283539377498,0.0021400172664966643,0.10039370078740162,-0.0010550691928004957,0.10144876998020211,0.012217805036337931
