Date,Price,Open,High,Low,Vol.,Change %
01/22/2026,"6,913.35","6,914.44","6,934.75","6,893.62",,0.55%
01/21/2026,"6,875.62","6,810.71","6,910.39","6,804.96",,1.16%
01/20/2026,"6,796.86","6,865.24","6,871.17","6,789.05",,-2.06%
01/16/2026,"6,940.01","6,960.54","6,967.30","6,925.09",,-0.06%
01/15/2026,"6,944.47","6,969.46","6,979.34","6,937.93",,0.26%
01/14/2026,"6,926.60","6,937.41","6,941.30","6,885.74",,-0.53%
01/13/2026,"6,963.74","6,977.41","6,985.83","6,938.77",,-0.19%
01/12/2026,"6,977.27","6,944.12","6,986.33","6,934.07",,0.16%
01/09/2026,"6,966.28","6,927.83","6,978.36","6,917.64",,0.65%
01/08/2026,"6,921.46","6,914.11","6,931.28","6,899.33",,0.01%
01/07/2026,"6,920.93","6,945.07","6,965.69","6,919.19",,-0.34%
01/06/2026,"6,944.82","6,908.03","6,948.69","6,904.02",,0.62%
01/05/2026,"6,902.05","6,892.19","6,920.38","6,891.56",,0.64%
01/02/2026,"6,858.47","6,878.11","6,894.87","6,824.31",,0.19%
12/31/2025,"6,845.50","6,898.82","6,901.42","6,844.55",,-0.74%
12/30/2025,"6,896.24","6,900.44","6,913.25","6,893.47",,-0.14%
12/29/2025,"6,905.74","6,903.60","6,920.21","6,888.76",,-0.35%
12/26/2025,"6,929.94","6,936.02","6,945.77","6,921.60",,-0.03%
12/24/2025,"6,932.05","6,904.91","6,937.32","6,904.91",,0.32%
12/23/2025,"6,909.79","6,872.41","6,910.88","6,868.81",,0.46%
12/22/2025,"6,878.49","6,865.21","6,882.03","6,855.74",,0.64%
12/19/2025,"6,834.50","6,792.62","6,840.02","6,792.62",,0.88%
12/18/2025,"6,774.76","6,778.06","6,816.13","6,758.50",,0.79%
12/17/2025,"6,721.43","6,802.88","6,812.26","6,720.43",,-1.16%
12/16/2025,"6,800.26","6,800.12","6,819.27","6,759.74",,-0.24%
12/15/2025,"6,816.51","6,860.19","6,861.59","6,801.49",,-0.16%
12/12/2025,"6,827.41","6,886.85","6,899.85","6,801.79",,-1.07%
12/11/2025,"6,901.00","6,861.30","6,903.46","6,833.45",,0.21%
12/10/2025,"6,886.68","6,833.49","6,900.67","6,824.69",,0.67%
12/09/2025,"6,840.51","6,840.61","6,864.92","6,837.43",,-0.09%
12/08/2025,"6,846.51","6,875.20","6,878.27","6,827.19",,-0.35%
