Date,Price,Open,High,Low,Vol.,Change %
01/30/2026,83.49,83.1,84.06,82.78,45.76M,0.40%
01/29/2026,83.16,84.31,84.38,82.35,42.28M,-1.75%
01/28/2026,84.64,85.63,86.47,84.29,37.76M,-1.10%
01/27/2026,85.58,85.28,85.6,83.88,37.79M,-0.14%
01/26/2026,85.7,86.92,86.94,85.35,40.94M,-0.49%
01/23/2026,86.12,83.43,86.3,83.28,64.52M,3.09%
01/22/2026,83.54,85.02,85.1,82.98,69.11M,-2.13%
01/21/2026,85.36,82.51,86,81.93,127.94M,-2.18%
01/20/2026,87.26,88.97,89.9,87.02,109.73M,-0.84%
01/16/2026,88,88.33,88.51,87.78,48.13M,-0.06%
01/15/2026,88.05,89.02,89.89,87.82,36.95M,-0.56%
01/14/2026,88.55,91.24,91.58,87.95,49.74M,-1.96%
01/13/2026,90.32,89.44,91.15,89.07,45.22M,1.02%
01/12/2026,89.41,89.69,90.33,89.33,36.29M,-0.06%
01/09/2026,89.46,90.03,90.05,88.32,55.58M,-1.18%
01/08/2026,90.53,90.45,91.25,89.58,40.07M,-0.22%
01/07/2026,90.73,91.56,92.42,90.06,36.53M,0.09%
01/06/2026,90.65,91.54,91.64,89.74,43.33M,-0.89%
01/05/2026,91.46,90.92,92.63,90.84,39.18M,0.52%
01/02/2026,90.99,94.13,94.13,90.81,41.16M,-2.95%
12/31/2025,93.76,93.6,94.31,93.2,23.50M,-0.02%
12/30/2025,93.78,93.52,93.99,93.34,23.42M,-0.39%
12/29/2025,94.15,93.99,94.97,93.63,24.49M,-0.34%
12/26/2025,94.47,93.48,94.68,93.27,22.07M,0.89%
12/24/2025,93.64,93.11,93.68,92.67,12.43M,0.15%
12/23/2025,93.5,93.39,93.81,91.33,25.90M,0.29%
12/22/2025,93.23,94.71,94.71,92.91,39.48M,-1.23%
12/19/2025,94.39,93.57,95.54,93.45,78.99M,0.41%
12/18/2025,94,95.02,95.81,93.59,37.24M,-0.83%
12/17/2025,94.79,95.98,97.33,94.46,50.47M,0.23%
12/16/2025,94.57,93.88,94.93,93.32,34.26M,0.85%
12/15/2025,93.77,96.01,96.37,93.53,40.02M,-1.49%
12/12/2025,95.19,95.5,96.92,94.65,49.32M,1.17%
12/11/2025,94.09,93.89,94.82,92.76,43.95M,1.49%
12/10/2025,92.71,96.74,96.97,92.35,74.13M,-4.14%
12/09/2025,96.71,97.03,97.24,95.45,51.75M,-0.08%
12/08/2025,96.79,99.87,99.89,95.3,100.91M,-3.44%
12/05/2025,100.24,98.78,104.79,97.74,133.36M,-2.89%
12/04/2025,103.22,103.57,103.8,101.77,51.78M,-0.71%
12/03/2025,103.96,106.59,106.87,102.03,53.59M,-4.93%
12/02/2025,109.35,109.21,109.73,107.52,25.76M,0.20%
12/01/2025,109.13,106.51,109.33,106.31,24.87M,1.44%
11/28/2025,107.58,106.43,107.94,106.24,15.02M,1.36%
11/26/2025,106.14,105.74,106.95,105.22,27.95M,1.67%
11/25/2025,104.4,106.12,106.3,103.82,35.12M,-2.40%
11/24/2025,106.97,104.25,108.04,103.32,62.92M,2.55%
11/21/2025,104.31,105.13,106.53,103.81,41.23M,-1.29%
